Year,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Rainfall_mm
1966,Chhattisgarh,Durg,rice,548000,337.59,8.43975,4.05108,7.42698,25,80,6.5,1200
1966,Chhattisgarh,Durg,maize,3000,666.67,18.00009,8.00004,11.33339,22,70,6,800
1966,Chhattisgarh,Durg,chickpea,54000,500,9,5,9,20,60,6.5,600
1967,Chhattisgarh,Durg,rice,547000,747.71,18.69275,8.97252,16.44962,25,80,6.5,1200
1967,Chhattisgarh,Durg,maize,3000,1000,27,12,17,22,70,6,800
1967,Chhattisgarh,Durg,chickpea,52000,288.46,5.19228,2.8846,5.19228,20,60,6.5,600
1968,Chhattisgarh,Durg,rice,556300,841.27,21.03175,10.09524,18.50794,25,80,6.5,1200
1968,Chhattisgarh,Durg,maize,2800,714.29,19.28583,8.57148,12.14293,22,70,6,800
1968,Chhattisgarh,Durg,chickpea,51300,448.34,8.07012,4.4834,8.07012,20,60,6.5,600
1969,Chhattisgarh,Durg,rice,563400,711.4,17.785,8.5368,15.6508,25,80,6.5,1200
1969,Chhattisgarh,Durg,maize,2700,851.85,22.99995,10.2222,14.48145,22,70,6,800
1969,Chhattisgarh,Durg,chickpea,52600,439.16,7.90488,4.3916,7.90488,20,60,6.5,600
1970,Chhattisgarh,Durg,rice,571600,828.55,20.71375,9.9426,18.2281,25,80,6.5,1200
1970,Chhattisgarh,Durg,maize,2500,1320,35.64,15.84,22.44,22,70,6,800
1970,Chhattisgarh,Durg,chickpea,53300,611.63,11.00934,6.1163,11.00934,20,60,6.5,600
1971,Chhattisgarh,Durg,rice,581800,709.69,17.74225,8.51628,15.61318,25,80,6.5,1200
1971,Chhattisgarh,Durg,maize,2700,1148.15,31.00005,13.7778,19.51855,22,70,6,800
1971,Chhattisgarh,Durg,chickpea,50300,652.09,11.73762,6.5209,11.73762,20,60,6.5,600
1972,Chhattisgarh,Durg,rice,582200,654.41,16.36025,7.85292,14.39702,25,80,6.5,1200
1972,Chhattisgarh,Durg,maize,2800,1142.86,30.85722,13.71432,19.42862,22,70,6,800
1972,Chhattisgarh,Durg,chickpea,52300,623.33,11.21994,6.2333,11.21994,20,60,6.5,600
1973,Chhattisgarh,Durg,rice,600000,786.5,19.6625,9.438,17.303,25,80,6.5,1200
1973,Chhattisgarh,Durg,maize,2900,931.03,25.13781,11.17236,15.82751,22,70,6,800
1973,Chhattisgarh,Durg,chickpea,56400,574.47,10.34046,5.7447,10.34046,20,60,6.5,600
1974,Chhattisgarh,Durg,rice,587400,372.83,9.32075,4.47396,8.20226,25,80,6.5,1200
1974,Chhattisgarh,Durg,maize,2900,1000,27,12,17,22,70,6,800
1974,Chhattisgarh,Durg,chickpea,54900,746.81,13.44258,7.4681,13.44258,20,60,6.5,600
1975,Chhattisgarh,Durg,rice,598300,758.82,18.9705,9.10584,16.69404,25,80,6.5,1200
1975,Chhattisgarh,Durg,maize,2900,1000,27,12,17,22,70,6,800
1975,Chhattisgarh,Durg,chickpea,58300,518.01,9.32418,5.1801,9.32418,20,60,6.5,600
1976,Chhattisgarh,Durg,rice,593600,551.04,13.776,6.61248,12.12288,25,80,6.5,1200
1976,Chhattisgarh,Durg,maize,3000,666.67,18.00009,8.00004,11.33339,22,70,6,800
1976,Chhattisgarh,Durg,chickpea,52500,255.24,4.59432,2.5524,4.59432,20,60,6.5,600
1977,Chhattisgarh,Durg,rice,600700,952.89,23.82225,11.43468,20.96358,25,80,6.5,1200
1977,Chhattisgarh,Durg,maize,3400,823.53,22.23531,9.88236,14.00001,22,70,6,800
1977,Chhattisgarh,Durg,chickpea,56300,314.39,5.65902,3.1439,5.65902,20,60,6.5,600
1978,Chhattisgarh,Durg,rice,612500,591.35,14.78375,7.0962,13.0097,25,80,6.5,1200
1978,Chhattisgarh,Durg,maize,3400,852.94,23.02938,10.23528,14.49998,22,70,6,800
1978,Chhattisgarh,Durg,chickpea,52100,326.3,5.8734,3.263,5.8734,20,60,6.5,600
1979,Chhattisgarh,Durg,rice,616800,535.99,13.39975,6.43188,11.79178,25,80,6.5,1200
1979,Chhattisgarh,Durg,maize,3000,1200,32.4,14.4,20.4,22,70,6,800
1979,Chhattisgarh,Durg,chickpea,65300,240.43,4.32774,2.4043,4.32774,20,60,6.5,600
1980,Chhattisgarh,Durg,rice,634900,812.1,20.3025,9.7452,17.8662,25,80,6.5,1200
1980,Chhattisgarh,Durg,maize,3000,933.33,25.19991,11.19996,15.86661,22,70,6,800
1980,Chhattisgarh,Durg,chickpea,54200,332.1,5.9778,3.321,5.9778,20,60,6.5,600
1981,Chhattisgarh,Durg,rice,630000,804.6,20.115,9.6552,17.7012,25,80,6.5,1200
1981,Chhattisgarh,Durg,maize,3000,1000,27,12,17,22,70,6,800
1981,Chhattisgarh,Durg,chickpea,60900,379.31,6.82758,3.7931,6.82758,20,60,6.5,600
1982,Chhattisgarh,Durg,rice,627900,817.49,20.43725,9.80988,17.98478,25,80,6.5,1200
1982,Chhattisgarh,Durg,maize,3000,1033.33,27.89991,12.39996,17.56661,22,70,6,800
1982,Chhattisgarh,Durg,chickpea,71700,389.12,7.00416,3.8912,7.00416,20,60,6.5,600
1983,Chhattisgarh,Durg,rice,626700,1134.51,28.36275,13.61412,24.95922,25,80,6.5,1200
1983,Chhattisgarh,Durg,maize,3000,1233.33,33.29991,14.79996,20.96661,22,70,6,800
1983,Chhattisgarh,Durg,chickpea,67700,364.84,6.56712,3.6484,6.56712,20,60,6.5,600
1984,Chhattisgarh,Durg,rice,632200,891.81,22.29525,10.70172,19.61982,25,80,6.5,1200
1984,Chhattisgarh,Durg,maize,3600,1138.89,30.75003,13.66668,19.36113,22,70,6,800
1984,Chhattisgarh,Durg,chickpea,82800,483.09,8.69562,4.8309,8.69562,20,60,6.5,600
1985,Chhattisgarh,Durg,rice,630800,1109.38,27.7345,13.31256,24.40636,25,80,6.5,1200
1985,Chhattisgarh,Durg,maize,3800,789.47,21.31569,9.47364,13.42099,22,70,6,800
1985,Chhattisgarh,Durg,chickpea,87900,433.45,7.8021,4.3345,7.8021,20,60,6.5,600
1986,Chhattisgarh,Durg,rice,643000,816.49,20.41225,9.79788,17.96278,25,80,6.5,1200
1986,Chhattisgarh,Durg,maize,4000,750,20.25,9,12.75,22,70,6,800
1986,Chhattisgarh,Durg,chickpea,98000,561.22,10.10196,5.6122,10.10196,20,60,6.5,600
1987,Chhattisgarh,Durg,rice,648000,807.1,20.1775,9.6852,17.7562,25,80,6.5,1200
1987,Chhattisgarh,Durg,maize,4000,750,20.25,9,12.75,22,70,6,800
1987,Chhattisgarh,Durg,chickpea,113500,459.03,8.26254,4.5903,8.26254,20,60,6.5,600
1988,Chhattisgarh,Durg,rice,652700,842.19,21.05475,10.10628,18.52818,25,80,6.5,1200
1988,Chhattisgarh,Durg,maize,3800,1052.63,28.42101,12.63156,17.89471,22,70,6,800
1988,Chhattisgarh,Durg,chickpea,118400,481.42,8.66556,4.8142,8.66556,20,60,6.5,600
1989,Chhattisgarh,Durg,rice,660200,692.67,17.31675,8.31204,15.23874,25,80,6.5,1200
1989,Chhattisgarh,Durg,maize,3700,1297.3,35.0271,15.5676,22.0541,22,70,6,800
1989,Chhattisgarh,Durg,chickpea,119600,505.85,9.1053,5.0585,9.1053,20,60,6.5,600
1990,Chhattisgarh,Durg,rice,682900,1181.43,29.53575,14.17716,25.99146,25,80,6.5,1200
1990,Chhattisgarh,Durg,maize,4000,950,25.65,11.4,16.15,22,70,6,800
1990,Chhattisgarh,Durg,chickpea,126200,511.89,9.21402,5.1189,9.21402,20,60,6.5,600
1991,Chhattisgarh,Durg,rice,680800,1136.31,28.40775,13.63572,24.99882,25,80,6.5,1200
1991,Chhattisgarh,Durg,maize,3800,921.05,24.86835,11.0526,15.65785,22,70,6,800
1991,Chhattisgarh,Durg,chickpea,117200,645.9,11.6262,6.459,11.6262,20,60,6.5,600
1992,Chhattisgarh,Durg,rice,688000,1129.8,28.245,13.5576,24.8556,25,80,6.5,1200
1992,Chhattisgarh,Durg,maize,4400,1363.64,36.81828,16.36368,23.18188,22,70,6,800
1992,Chhattisgarh,Durg,chickpea,112600,563.06,10.13508,5.6306,10.13508,20,60,6.5,600
1993,Chhattisgarh,Durg,rice,703600,1246.02,31.1505,14.95224,27.41244,25,80,6.5,1200
1993,Chhattisgarh,Durg,maize,3800,1105.26,29.84202,13.26312,18.78942,22,70,6,800
1993,Chhattisgarh,Durg,chickpea,110600,628.39,11.31102,6.2839,11.31102,20,60,6.5,600
1994,Chhattisgarh,Durg,rice,726800,1331.73,33.29325,15.98076,29.29806,25,80,6.5,1200
1994,Chhattisgarh,Durg,maize,4800,895.83,24.18741,10.74996,15.22911,22,70,6,800
1994,Chhattisgarh,Durg,chickpea,124700,653.57,11.76426,6.5357,11.76426,20,60,6.5,600
1995,Chhattisgarh,Durg,rice,723300,1454.44,36.361,17.45328,31.99768,25,80,6.5,1200
1995,Chhattisgarh,Durg,maize,4200,1333.33,35.99991,15.99996,22.66661,22,70,6,800
1995,Chhattisgarh,Durg,chickpea,124000,494.35,8.8983,4.9435,8.8983,20,60,6.5,600
1996,Chhattisgarh,Durg,rice,710900,1290.2,32.255,15.4824,28.3844,25,80,6.5,1200
1996,Chhattisgarh,Durg,maize,3200,1281.25,34.59375,15.375,21.78125,22,70,6,800
1996,Chhattisgarh,Durg,chickpea,117700,663.55,11.9439,6.6355,11.9439,20,60,6.5,600
1997,Chhattisgarh,Durg,rice,735700,1138.37,28.45925,13.66044,25.04414,25,80,6.5,1200
1997,Chhattisgarh,Durg,maize,3500,914.29,24.68583,10.97148,15.54293,22,70,6,800
1997,Chhattisgarh,Durg,chickpea,111000,439.64,7.91352,4.3964,7.91352,20,60,6.5,600
1998,Chhattisgarh,Durg,rice,786510,870.45,21.76125,10.4454,19.1499,25,80,6.5,1200
1998,Chhattisgarh,Durg,maize,5610,1012.65,27.34155,12.1518,17.21505,22,70,6,800
1998,Chhattisgarh,Durg,chickpea,144250,591.05,10.6389,5.9105,10.6389,20,60,6.5,600
1999,Chhattisgarh,Durg,rice,769790,1251.04,31.276,15.01248,27.52288,25,80,6.5,1200
1999,Chhattisgarh,Durg,maize,3810,1307.44,35.30088,15.68928,22.22648,22,70,6,800
1999,Chhattisgarh,Durg,chickpea,118670,669.94,12.05892,6.6994,12.05892,20,60,6.5,600
2000,Chhattisgarh,Durg,rice,748760,624.89,15.62225,7.49868,13.74758,25,80,6.5,1200
2000,Chhattisgarh,Durg,maize,3940,792.52,21.39804,9.51024,13.47284,22,70,6,800
2000,Chhattisgarh,Durg,chickpea,98520,506.84,9.12312,5.0684,9.12312,20,60,6.5,600
2001,Chhattisgarh,Durg,rice,756260,1294.13,32.35325,15.52956,28.47086,25,80,6.5,1200
2001,Chhattisgarh,Durg,maize,3900,672.21,18.14967,8.06652,11.42757,22,70,6,800
2001,Chhattisgarh,Durg,chickpea,117530,735.92,13.24656,7.3592,13.24656,20,60,6.5,600
2002,Chhattisgarh,Durg,rice,753410,643.6,16.09,7.7232,14.1592,25,80,6.5,1200
2002,Chhattisgarh,Durg,maize,3710,1284.3,34.6761,15.4116,21.8331,22,70,6,800
2002,Chhattisgarh,Durg,chickpea,122650,637.98,11.48364,6.3798,11.48364,20,60,6.5,600
2002,Chhattisgarh,Durg,cotton,20,500,13.5,6,13.5,28,65,6,700
2003,Chhattisgarh,Durg,rice,766580,1494.73,37.36825,17.93676,32.88406,25,80,6.5,1200
2003,Chhattisgarh,Durg,maize,3400,983.49,26.55423,11.80188,16.71933,22,70,6,800
2003,Chhattisgarh,Durg,chickpea,138930,981.46,17.66628,9.8146,17.66628,20,60,6.5,600
2003,Chhattisgarh,Durg,cotton,70,714.29,19.28583,8.57148,19.28583,28,65,6,700
2004,Chhattisgarh,Durg,rice,775990,1268.46,31.7115,15.22152,27.90612,25,80,6.5,1200
2004,Chhattisgarh,Durg,maize,3260,1186.04,32.02308,14.23248,20.16268,22,70,6,800
2004,Chhattisgarh,Durg,chickpea,163220,501.01,9.01818,5.0101,9.01818,20,60,6.5,600
2004,Chhattisgarh,Durg,cotton,410,512.2,13.8294,6.1464,13.8294,28,65,6,700
2005,Chhattisgarh,Durg,rice,775990,1268.46,31.7115,15.22152,27.90612,25,80,6.5,1200
2005,Chhattisgarh,Durg,maize,3260,1186.04,32.02308,14.23248,20.16268,22,70,6,800
2005,Chhattisgarh,Durg,chickpea,163220,501.01,9.01818,5.0101,9.01818,20,60,6.5,600
2006,Chhattisgarh,Durg,rice,781700,1505.81,37.64525,18.06972,33.12782,25,80,6.5,1200
2006,Chhattisgarh,Durg,maize,5280,953.14,25.73478,11.43768,16.20338,22,70,6,800
2006,Chhattisgarh,Durg,chickpea,170600,723.74,13.02732,7.2374,13.02732,20,60,6.5,600
2006,Chhattisgarh,Durg,cotton,190,263.16,7.10532,3.15792,7.10532,28,65,6,700
2007,Chhattisgarh,Durg,rice,799890,1369.98,34.2495,16.43976,30.13956,25,80,6.5,1200
2007,Chhattisgarh,Durg,maize,3300,1157.23,31.24521,13.88676,19.67291,22,70,6,800
2007,Chhattisgarh,Durg,chickpea,143200,909.8,16.3764,9.098,16.3764,20,60,6.5,600
2007,Chhattisgarh,Durg,cotton,40,250,6.75,3,6.75,28,65,6,700
2008,Chhattisgarh,Durg,rice,803370,876.42,21.9105,10.51704,19.28124,25,80,6.5,1200
2008,Chhattisgarh,Durg,maize,3400,984.92,26.59284,11.81904,16.74364,22,70,6,800
2008,Chhattisgarh,Durg,chickpea,131940,856.71,15.42078,8.5671,15.42078,20,60,6.5,600
2008,Chhattisgarh,Durg,cotton,10,1000,27,12,27,28,65,6,700
2009,Chhattisgarh,Durg,rice,789040,788.37,19.70925,9.46044,17.34414,25,80,6.5,1200
2009,Chhattisgarh,Durg,maize,3250,1045.97,28.24119,12.55164,17.78149,22,70,6,800
2009,Chhattisgarh,Durg,chickpea,147220,883.44,15.90192,8.8344,15.90192,20,60,6.5,600
